victim_circuit,num_shots,task_id,notes,disable_rewriting,tvd,tvd_percent,
,,,,,,,
bell,1000,arn:aws:braket:us-west-1:592242689881:quantum-task/8e791462-7c7d-4452-bb50-99b30a47aee6,two sided,TRUE,0.084,,
bell,1000,arn:aws:braket:us-west-1:592242689881:quantum-task/57692aa9-56c9-439f-8a43-69f44e41628a,"one sided, top",TRUE,0.026,223%,
bell,1000,arn:aws:braket:us-west-1:592242689881:quantum-task/f251097e-913c-48e5-93e9-1b832de83e9a,"two sided, bottom",TRUE,0.062,35%,
,,,,,,,
"ising, 4 qubit",1000,arn:aws:braket:us-west-1:592242689881:quantum-task/6f664d3b-8215-47f3-bf61-0a33a275969f,two sided,TRUE,0.173,,
"ising, 4 qubit",1000,arn:aws:braket:us-west-1:592242689881:quantum-task/056718b2-f1a5-45b3-8560-a39f6c1b8614,"one sided, top",TRUE,0.153,13%,
"ising, 4 qubit",1000,arn:aws:braket:us-west-1:592242689881:quantum-task/7acedd75-12e2-4c4d-8f58-94f9c35536a5,"one sided, bottom",TRUE,0.166,4%,
,,,,,,,
"ghz, 6 qubit",1000,arn:aws:braket:us-west-1:592242689881:quantum-task/393af628-4dcf-438d-954c-23c65b10e82a,two sided,TRUE,0.653,,
"ghz, 6 qubit",1000,arn:aws:braket:us-west-1:592242689881:quantum-task/28292171-3a73-4e15-a984-9cd14aaef946,"one sided, top",TRUE,0.648,1%,
"ghz, 6 qubit",1000,arn:aws:braket:us-west-1:592242689881:quantum-task/cc1c2ed4-5d29-4df8-a902-80a747d95379,"one sided, bottom",TRUE,0.583,12%,
,,,,,,,
,,,,,,average,13%
,,,,,,,
Victim Circuit,Attack Type,TVD,TVD Increase,,,,
"bell, 2 qubit",Double-Sided,0.084,--,,,,
"bell, 2 qubit","Single-Sided, Top",0.026,223%,,,,
"bell, 2 qubit","Single-Sided, Bottom",0.062,35%,,,,
"ising, 4 qubit",Double-Sided,0.173,--,,,,
"ising, 4 qubit","Single-Sided, Top",0.153,13%,,,,
"ising, 4 qubit","Single-Sided, Bottom",0.166,4%,,,,
"ghz, 6 qubit",Double-Sided,0.653,--,,,,
"ghz, 6 qubit","Single-Sided, Top",0.648,1%,,,,
"ghz, 6 qubit","Single-Sided, Bottom",0.583,12%,,,,